Intenções	Locuções
Reserva Hotel	Preciso de um hotel 3 estrelas
Reserva Hotel	Quero reservar um hotel
Reserva Hotel	Quero uma reserva
Reserva Hotel	Hotel em {x} com valor até {y}
Reserva Hotel	Quero um quarto com cama de casal
Reserva Hotel	Quero uma suíte com duas camas de solteiros
Reserva Hotel	Pode ser um hostel com quarto compartilhado
Reserva Hotel	Preciso de uma hospedagem em {x}
Reserva Hotel	Vou para {x} e preciso de uma hospedagem
Reserva Hotel	Vou viajar e preciso de um local para ficar
Reserva Hotel	Quais os hotéis próximos ao aeroporto {x}
Reserva Hotel	Gostaria de uma reserva próximo ao aeroporto {x}
Reserva Hotel	Quero uma reserva no hotel {x}
Reserva Hotel	Quero informações para criar uma reserva
Reserva Hotel	Vou estar na cidade {x} e preciso de um hotel
Reserva Hotel	Estou na cidade {x} e estou a procura de um hotel
Reserva Hotel	Preciso de uma reserva no hótel {x}
Reserva Hotel	Hostels próximo ao bairro {x}
Reserva Hotel	Hostel com suite próximo ao bairro {x}
Reserva Hotel	Quero um hostel próximo a {x} no dia {y} para {z} pessoas
Reserva Hotel	Quero reservar um quarto no hotel {x}
Reserva Hotel	Quero reservar um hostel próximo a {x}
Reserva Hotel	Quero um quarto com vista para {x}
Reserva Hotel	Reserva para {x} pessoas e {y} animais
Reserva Hotel	Vou ficar {x} dias na cidade {y}, preciso de uma reserva
Reserva Hotel	Estou indo para {x}, quais as reservas disponíveis para {y} pessoas
Reserva Hotel	Como faço uma reserva de hotel?
Reserva Hotel	Vou viajar em {x} e não sei em qual hotel ficar
Reserva Hotel	Vai ter o evento {x} em {y} e eu preciso de uma reserva o quanto antes
Reserva Hotel	Quais os hóteis próximos ao evento {x}
Reserva Hotel	Qual o melhor quarto do hotel {x}
Reserva Hotel	Uma suite e um quarto compartilhado próximo a {x}
Reserva Hotel	Hostels próximo a praia {x}
Reserva Hotel	Reservas no hotel {x}
Reserva Hotel	Reservar quarto twin room
Passagem Aérea	Gostaria de uma passagem para {x} no dia {y}
Passagem Aérea	Quero uma passagem para o lugar {x} no dia {y}
Passagem Aérea	Quero ver passagens do aeroporto {x} para {y}
Passagem Aérea	Quais os preços de passagens para o lugar {x}
Passagem Aérea	Gostaria de passagens para o lugar {x} no dia {y}
Passagem Aérea	Gostaria de uma passagem para {x} pessoas para o lugar {y}
Passagem Aérea	Quero uma passagem de {x} para {y} no dia {z}
Passagem Aérea	Quero um vôo direto para lugar {x} no dia {y}
Passagem Aérea	Quais os vôos disponíveis do aeroporto {x} para {y} no dia {z}
